date,0x00000000219ab540356cbb839cbe05303d7705fa
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,0.0
2020-11-04,1.0
2020-11-05,11621.0
2020-11-06,32485.0
2020-11-07,40101.0
2020-11-08,43877.0
2020-11-09,47941.0
2020-11-10,49569.0
2020-11-11,52897.0
2020-11-12,57729.0
2020-11-13,59841.0
2020-11-14,63456.0
2020-11-15,80640.0
2020-11-16,92768.0
2020-11-17,98208.0
2020-11-18,100416.0
2020-11-19,104288.0
2020-11-20,107136.0
2020-11-21,148192.0
2020-11-22,236192.0
2020-11-23,282880.0
2020-11-24,460128.000069
2020-11-25,704224.000069
2020-11-26,739296.000069
2020-11-27,775424.000069
2020-11-28,801504.000069
2020-11-29,823392.000069
2020-11-30,839456.000069
2020-12-01,865696.000069
2020-12-02,905601.000069
2020-12-03,978850.000069
2020-12-04,993794.000069
2020-12-05,1070530.000069
2020-12-06,1111053.000069
2020-12-07,1144208.000069
2020-12-08,1189601.000069
2020-12-09,1271169.000069
2020-12-10,1313569.000069
2020-12-11,1373473.000069
2020-12-12,1411425.000069
2020-12-13,1436257.000069
2020-12-14,1461857.000069
2020-12-15,1482401.000069
2020-12-16,1502689.000069
2020-12-17,1520770.000069
2020-12-18,1540677.000069
2020-12-19,1558817.000069
2020-12-20,1626529.000069
2020-12-21,1691969.000069
2020-12-22,1788482.000069
2020-12-23,1920770.000069
2020-12-24,2003778.000069
2020-12-25,2014754.000069
2020-12-26,2025826.000069
2020-12-27,2037378.000069
2020-12-28,2079394.000069
2020-12-29,2111778.000069
2020-12-30,2125346.000069
2020-12-31,2149890.000069
2021-01-01,2170754.000069
2021-01-02,2183938.000069
2021-01-03,2196706.000069
2021-01-04,2205026.000069
2021-01-05,2241666.000069
2021-01-06,2261858.000069
2021-01-07,2286786.000069
2021-01-08,2305954.000069
2021-01-09,2332962.000069
2021-01-10,2348674.000069
2021-01-11,2360706.000069
2021-01-12,2406210.000069
2021-01-13,2432834.000069
2021-01-14,2459970.000069
2021-01-15,2504610.000069
2021-01-16,2516994.000069
2021-01-17,2534210.000069
2021-01-18,2540770.000069
2021-01-19,2593698.000069
2021-01-20,2705954.000069
2021-01-21,2778146.000069
2021-01-22,2781794.000069
2021-01-23,2793314.000069
2021-01-24,2811938.000069
2021-01-25,2825314.000069
2021-01-26,2832482.000069
2021-01-27,2840674.000069
2021-01-28,2847170.000069
2021-01-29,2858626.000069
2021-01-30,2873538.000069
2021-01-31,2879426.000069
2021-02-01,2890594.000069
2021-02-02,2898274.000069
2021-02-03,2911874.000069
2021-02-04,2934242.000069
2021-02-05,2939842.000069
2021-02-06,2947490.000069
2021-02-07,2958882.000069
2021-02-08,2974722.000069
2021-02-09,2981218.000069
2021-02-10,2999586.000069
2021-02-11,3034018.000069
2021-02-12,3045602.000069
2021-02-13,3064354.000069
2021-02-14,3068962.000069
2021-02-15,3087682.000069
2021-02-16,3094818.000069
2021-02-17,3102882.000069
2021-02-18,3134466.000069
2021-02-19,3159266.000069
2021-02-20,3168962.000069
2021-02-21,3178178.000069
2021-02-22,3190626.000069
2021-02-23,3207970.000069
2021-02-24,3212482.000069
2021-02-25,3241762.000069
2021-02-26,3291042.000069
2021-02-27,3309858.000069
2021-02-28,3317538.000069
2021-03-01,3321730.000069
2021-03-02,3333122.000069
2021-03-03,3346530.000069
2021-03-04,3353250.000069
2021-03-05,3363874.000069
2021-03-06,3410338.000069
2021-03-07,3415554.000069
2021-03-08,3427170.000069
2021-03-09,3441762.000069
2021-03-10,3459266.000069
2021-03-11,3475810.000069
2021-03-12,3481442.000069
2021-03-13,3490498.000069
2021-03-14,3497410.000069
2021-03-15,3524226.000069
2021-03-16,3526786.000069
2021-03-17,3532098.000069
2021-03-18,3538562.000069
2021-03-19,3546658.000069
2021-03-20,3553410.000069
2021-03-21,3557154.000069
2021-03-22,3559618.000069
2021-03-23,3562850.000069
2021-03-24,3567074.000069
2021-03-25,3575330.000069
2021-03-26,3580226.000069
2021-03-27,3584034.000069
2021-03-28,3596866.000069
2021-03-29,3601922.000069
2021-03-30,3607682.000069
2021-03-31,3617410.000069
2021-04-01,3622242.000069
2021-04-02,3630210.000069
2021-04-03,3645154.000069
2021-04-04,3682274.000069
2021-04-05,3699842.000069
2021-04-06,3710050.000069
2021-04-07,3722146.000069
2021-04-08,3756098.000069
2021-04-09,3762818.000069
2021-04-10,3767234.000069
2021-04-11,3779170.000069
2021-04-12,3791682.000069
2021-04-13,3811330.000069
2021-04-14,3819362.000069
2021-04-15,3826050.000069
2021-04-16,3851842.000069
2021-04-17,3861378.000069
2021-04-18,3870626.000069
2021-04-19,3874274.000069
2021-04-20,3882786.000069
2021-04-21,3898978.000069
2021-04-22,3918530.000069
2021-04-23,3934562.000069
2021-04-24,3948578.000069
2021-04-25,3961570.000069
2021-04-26,3972322.000069
2021-04-27,3994530.000069
2021-04-28,4023426.000069
2021-04-29,4041410.000069
2021-04-30,4068834.000069
2021-05-01,4076930.000069
2021-05-02,4108130.000069
2021-05-03,4114498.000069
2021-05-04,4143394.000069
2021-05-05,4193570.000069
2021-05-06,4273090.000069
2021-05-07,4301410.000069
2021-05-08,4388354.000069
2021-05-09,4417250.000069
2021-05-10,4422594.000069
2021-05-11,4433186.000069
2021-05-12,4455170.000069
2021-05-13,4497378.000069
2021-05-14,4558914.000069
2021-05-15,4587426.000069
2021-05-16,4602530.000069
2021-05-17,4612194.000069
2021-05-18,4649506.000069
2021-05-19,4676738.000069
2021-05-20,4711714.000069
2021-05-21,4729698.000069
2021-05-22,4756578.000069
2021-05-23,4808162.000069
2021-05-24,4840386.000069
2021-05-25,4871842.000069
2021-05-26,4943426.000069
2021-05-27,5068642.000069
2021-05-28,5162466.000069
2021-05-29,5166754.000069
2021-05-30,5193794.000069
2021-05-31,5202050.000069
2021-06-01,5210594.000069
2021-06-02,5218978.000069
2021-06-03,5233250.000069
2021-06-04,5300450.000069
2021-06-05,5320098.000069
2021-06-06,5335554.000069
2021-06-07,5338722.000069
2021-06-08,5347746.000069
2021-06-09,5366946.000069
2021-06-10,5423490.000069
2021-06-11,5450882.000069
2021-06-12,5470882.000069
2021-06-13,5504834.000069
2021-06-14,5528002.000069
2021-06-15,5534594.000069
2021-06-16,5559586.000069
2021-06-17,5624866.000069
2021-06-18,5654690.000069
2021-06-19,5676386.000069
2021-06-20,5696802.000069
2021-06-21,5719394.000069
2021-06-22,5725122.000069
2021-06-23,5746850.000069
2021-06-24,5880962.000069
2021-06-25,5897666.000069
2021-06-26,5916674.000069
2021-06-27,5931298.000069
2021-06-28,5933186.000069
2021-06-29,5937282.000069
2021-06-30,5981378.000069
2021-07-01,6006466.000069
2021-07-02,6042210.000069
2021-07-03,6077154.000069
2021-07-04,6084418.000069
2021-07-05,6090242.000069
2021-07-06,6114626.000069
2021-07-07,6207842.000069
2021-07-08,6220002.000069
2021-07-09,6239042.000069
2021-07-10,6254178.000069
2021-07-11,6259714.000069
2021-07-12,6261794.000069
2021-07-13,6267234.000069
2021-07-14,6279234.000069
2021-07-15,6288930.000069
2021-07-16,6300002.000069
2021-07-17,6336034.000069
2021-07-18,6349538.000069
2021-07-19,6351298.000069
2021-07-20,6353474.000069
2021-07-21,6362914.000069
2021-07-22,6375714.000069
2021-07-23,6383682.000069
2021-07-24,6409762.000069
2021-07-25,6416898.000069
2021-07-26,6418434.000069
2021-07-27,6419522.000069
2021-07-28,6430914.000069
2021-07-29,6445794.000069
2021-07-30,6453058.000069
2021-07-31,6466626.000069
2021-08-01,6472962.000069
2021-08-02,6483138.000069
2021-08-03,6485762.000069
2021-08-04,6507554.000069
2021-08-05,6536802.000069
2021-08-06,6558978.000069
2021-08-07,6568674.000069
2021-08-08,6580610.000069
2021-08-09,6588418.000069
2021-08-10,6605314.000069
2021-08-11,6630946.000069
2021-08-12,6657730.000069
2021-08-13,6671170.000069
2021-08-14,6688130.000069
2021-08-15,6717090.000069
2021-08-16,6728482.000069
2021-08-17,6742690.000069
2021-08-18,6838050.000069
2021-08-19,6935714.000069
2021-08-20,7001954.000069
2021-08-21,7026018.000069
2021-08-22,7066114.000069
2021-08-23,7094306.000069
2021-08-24,7123138.000069
2021-08-25,7142722.000069
2021-08-26,7148386.000069
2021-08-27,7155586.000069
2021-08-28,7163458.000069
2021-08-29,7201570.000069
2021-08-30,7258658.000069
2021-08-31,7270626.000069
2021-09-01,7280770.000069
2021-09-02,7303586.000069
2021-09-03,7382562.000069
2021-09-04,7403810.000069
2021-09-05,7410082.000069
2021-09-06,7476834.000069
2021-09-07,7491874.000069
2021-09-08,7513474.000069
2021-09-09,7532962.000069
2021-09-10,7549090.000069
2021-09-11,7572450.000069
2021-09-12,7639042.000069
2021-09-13,7644610.000069
2021-09-14,7649602.000069
2021-09-15,7664546.000069
2021-09-16,7674114.000069
2021-09-17,7682946.000069
2021-09-18,7689378.000069
2021-09-19,7724962.000069
2021-09-20,7729698.000069
2021-09-21,7735522.000069
2021-09-22,7745442.000069
2021-09-23,7758914.000069
2021-09-24,7767490.000069
2021-09-25,7773122.000069
2021-09-26,7780514.000069
2021-09-27,7784994.000069
2021-09-28,7787746.000069
2021-09-29,7807298.000069
2021-09-30,7813858.000069
2021-10-01,7820450.000069
2021-10-02,7824674.000069
2021-10-03,7828834.000069
2021-10-04,7837826.000069
2021-10-05,7842978.000069
2021-10-06,7899458.000069
2021-10-07,7905314.000069
2021-10-08,7915266.000069
2021-10-09,7920130.000069
2021-10-10,7924930.000069
2021-10-11,7929410.000069
2021-10-12,7934626.000069
2021-10-13,7938626.000069
2021-10-14,7943042.000069
2021-10-15,7949154.000069
2021-10-16,7973986.000069
2021-10-17,7978658.000069
2021-10-18,7981762.000069
2021-10-19,7985922.000069
2021-10-20,7988866.000069
2021-10-21,7993346.000069
2021-10-22,7998946.000069
2021-10-23,8003906.000069
2021-10-24,8008354.000069
2021-10-25,8011266.000069
2021-10-26,8017922.000069
2021-10-27,8023266.000069
2021-10-28,8029954.000069
2021-10-29,8033890.000069
2021-10-30,8054594.000069
2021-10-31,8089218.000069
2021-11-01,8091458.000069
2021-11-02,8099874.000069
2021-11-03,8132546.000069
2021-11-04,8140482.000069
2021-11-05,8146754.000069
2021-11-06,8187618.000069
2021-11-07,8192194.000069
2021-11-08,8200706.000069
2021-11-09,8208674.000069
2021-11-10,8212786.000069
2021-11-11,8220194.000069
2021-11-12,8229554.000069
2021-11-13,8239154.000069
2021-11-14,8242850.000069
2021-11-15,8247586.000069
2021-11-16,8260290.000069
2021-11-17,8304162.000069
2021-11-18,8312322.000069
2021-11-19,8321762.000069
2021-11-20,8331138.000069
2021-11-21,8337218.000069
2021-11-22,8344130.000069
2021-11-23,8358226.000069
2021-11-24,8379330.000069
2021-11-25,8390194.000069
2021-11-26,8399906.000069
2021-11-27,8412450.000069
2021-11-28,8419794.000069
2021-11-29,8431794.000069
2021-11-30,8437010.000069
2021-12-01,8451458.000069
2021-12-02,8478738.000069
2021-12-03,8492434.000069
2021-12-04,8515362.000069
2021-12-05,8523282.000069
2021-12-06,8537426.000069
2021-12-07,8546530.000069
2021-12-08,8568994.000069
2021-12-09,8579762.000069
2021-12-10,8589170.000069
2021-12-11,8597330.000069
2021-12-12,8609922.000069
2021-12-13,8618834.000069
2021-12-14,8628610.000069
2021-12-15,8650818.000069
2021-12-16,8667618.000069
2021-12-17,8679314.000069
2021-12-18,8696802.000069
2021-12-19,8709250.000069
2021-12-20,8731394.000069
2021-12-21,8746850.000069
2021-12-22,8758178.000069
2021-12-23,8767730.000069
2021-12-24,8772962.000069
2021-12-25,8787106.000069
2021-12-26,8792962.000069
2021-12-27,8798130.000069
2021-12-28,8808098.000069
2021-12-29,8813458.000069
2021-12-30,8820466.000069
2021-12-31,8831794.000069
2022-01-01,8838994.000069
2022-01-02,8852770.000069
2022-01-03,8866898.000069
2022-01-04,8887122.000069
2022-01-05,8915506.000069
2022-01-06,8931074.000069
2022-01-07,8947026.000069
2022-01-08,8963026.000069
2022-01-09,8978642.000069
2022-01-10,8984338.000069
2022-01-11,8996450.000069
2022-01-12,9005650.000069
2022-01-13,9012418.000069
2022-01-14,9021410.000069
2022-01-15,9034146.000069
2022-01-16,9045442.000069
2022-01-17,9052706.000069
2022-01-18,9060594.000069
2022-01-19,9067794.000069
2022-01-20,9097954.000069
2022-01-21,9101810.000069
2022-01-22,9110626.000069
2022-01-23,9134114.000069
2022-01-24,9182482.000069
2022-01-25,9192994.000069
2022-01-26,9212114.000069
2022-01-27,9218898.000069
2022-01-28,9234226.000069
2022-01-29,9244514.000069
2022-01-30,9258402.000069
2022-01-31,9263842.000069
2022-02-01,9271362.000069
2022-02-02,9280978.000069
2022-02-03,9286690.000069
2022-02-04,9294786.000069
2022-02-05,9313618.000069
2022-02-06,9323762.000069
2022-02-07,9330546.000069
2022-02-08,9341458.000069
2022-02-09,9358386.000069
2022-02-10,9365922.000069
2022-02-11,9384626.000069
2022-02-12,9401842.000069
2022-02-13,9406898.000069
2022-02-14,9428258.000069
2022-02-15,9435138.000069
2022-02-16,9457650.000069
2022-02-17,9471330.000069
2022-02-18,9477874.000069
2022-02-19,9491570.000069
2022-02-20,9498226.000069
2022-02-21,9505106.000069
2022-02-22,9508322.000069
2022-02-23,9524402.000069
2022-02-24,9577554.000069
2022-02-25,9588866.000069
2022-02-26,9602914.000069
2022-02-27,9617682.000069
2022-02-28,9633250.000069
2022-03-01,9656850.000069
2022-03-02,9698162.000069
2022-03-03,9722738.000069
2022-03-04,9765938.000069
2022-03-05,9796210.000069
2022-03-06,9820162.000069
2022-03-07,9833346.000069
2022-03-08,9891458.000069
2022-03-09,9934738.000069
2022-03-10,9990530.000069
2022-03-11,10028146.000069
2022-03-12,10063042.000069
2022-03-13,10085954.000069
2022-03-14,10095810.000069
2022-03-15,10135122.000069
2022-03-16,10337378.000069
2022-03-17,10400930.000069
2022-03-18,10449810.000069
2022-03-19,10500130.000069
2022-03-20,10613378.000069
2022-03-21,10628258.000069
2022-03-22,10636802.000069
2022-03-23,10662834.000069
2022-03-24,10699698.000069
2022-03-25,10720258.000069
2022-03-26,10742994.000069
2022-03-27,10756082.000069
2022-03-28,10764626.000069
2022-03-29,10776722.000069
2022-03-30,10800210.000069
2022-03-31,10866386.000069
2022-04-01,10987282.000069
2022-04-02,11028546.000069
2022-04-03,11054466.000069
2022-04-04,11094706.000069
2022-04-05,11110802.000069
2022-04-06,11178178.000069
2022-04-07,11210546.000069
2022-04-08,11259282.000069
2022-04-09,11299426.000069
2022-04-10,11318274.000069
2022-04-11,11347810.000069
2022-04-12,11364770.000069
2022-04-13,11393010.000069
2022-04-14,11464610.000069
2022-04-15,11488162.000069
2022-04-16,11559586.000069
2022-04-17,11595218.000069
2022-04-18,11597474.000069
2022-04-19,11601442.000069
2022-04-20,11670914.000069
2022-04-21,11719106.000069
2022-04-22,11771122.000069
2022-04-23,11814834.000069
2022-04-24,11828210.000069
2022-04-25,11835138.000069
2022-04-26,11850354.000069
2022-04-27,11912626.000069
2022-04-28,11981650.000069
2022-04-29,12027426.000069
2022-04-30,12059570.000069
2022-05-01,12078114.000069
2022-05-02,12132802.000069
2022-05-03,12254450.000069
2022-05-04,12315234.000069
2022-05-05,12351522.000069
2022-05-06,12373378.000069
2022-05-07,12427890.000069
2022-05-08,12446754.000069
2022-05-09,12453234.000069
2022-05-10,12519506.000069
2022-05-11,12536274.000069
2022-05-12,12555954.000069
2022-05-13,12567778.000069
2022-05-14,12581810.000069
2022-05-15,12587346.000069
2022-05-16,12591618.000069
2022-05-17,12596434.000069
2022-05-18,12604466.000069
2022-05-19,12612962.000069
2022-05-20,12639490.000069
2022-05-21,12648370.000069
2022-05-22,12657266.000069
2022-05-23,12659106.000069
2022-05-24,12662658.000069
2022-05-25,12670162.000069
2022-05-26,12680802.000069
2022-05-27,12684484.000069
2022-05-28,12696596.000069
2022-05-29,12700276.000069
2022-05-30,12711331.000069
2022-05-31,12716404.000069
2022-06-01,12737189.000069
2022-06-02,12764181.000069
2022-06-03,12775045.000069
2022-06-04,12781445.000069
2022-06-05,12787621.000069
2022-06-06,12791797.000069
2022-06-07,12799125.000069
2022-06-08,12803589.000069
2022-06-09,12806021.000069
2022-06-10,12810741.000069
2022-06-11,12818069.000069
2022-06-12,12849749.000069
2022-06-13,12867701.000069
2022-06-14,12873669.000069
2022-06-15,12878565.000069
2022-06-16,12888181.000069
2022-06-17,12896629.000069
2022-06-18,12909557.000069
2022-06-19,12916277.000069
2022-06-20,12917637.000069
2022-06-21,12927621.000069
2022-06-22,12940229.000069
2022-06-23,12949573.000069
2022-06-24,12952325.000069
2022-06-25,12957013.000069
2022-06-26,12959285.000069
2022-06-27,12964437.000069
2022-06-28,12972389.000069
2022-06-29,12974885.000069
2022-06-30,12979781.000069
2022-07-01,12984421.000069
2022-07-02,12987957.000069
2022-07-03,12992901.000069
2022-07-04,12994309.000069
2022-07-05,12996309.000069
2022-07-06,12998405.000069
2022-07-07,13003765.000069
2022-07-08,13007221.000069
2022-07-09,13010981.000069
2022-07-10,13013685.000069
2022-07-11,13019541.000069
2022-07-12,13021893.000069
2022-07-13,13024853.000069
2022-07-14,13088037.000069
2022-07-15,13094421.000069
2022-07-16,13101589.000069
2022-07-17,13104789.000069
2022-07-18,13109093.000069
2022-07-19,13119093.000069
2022-07-20,13123845.000069
2022-07-21,13134725.000069
2022-07-22,13147045.000069
2022-07-23,13149077.000069
2022-07-24,13150613.000069
2022-07-25,13151909.000069
2022-07-26,13153781.000069
2022-07-27,13162053.000069
2022-07-28,13166053.000069
2022-07-29,13174517.000069
2022-07-30,13180917.000069
2022-07-31,13184037.000069
2022-08-01,13188629.000069
2022-08-02,13190533.000069
2022-08-03,13195525.000069
2022-08-04,13197685.000069
2022-08-05,13202981.000069
2022-08-06,13206565.000069
2022-08-07,13209157.000069
2022-08-08,13213253.000069
2022-08-09,13218597.000069
2022-08-10,13235701.000069
2022-08-11,13241941.000069
2022-08-12,13261525.000069
2022-08-13,13297413.000069
2022-08-14,13301861.000069
2022-08-15,13307829.000069
2022-08-16,13311205.000069
2022-08-17,13322533.000069
2022-08-18,13327653.000069
2022-08-19,13334422.000069
2022-08-20,13337048.000069
2022-08-21,13340568.000069
2022-08-22,13343688.000069
2022-08-23,13347690.000069
2022-08-24,13360902.000069
2022-08-25,13373170.000069
2022-08-26,13375924.000069
2022-08-27,13386064.000069
2022-08-28,13388470.000069
2022-08-29,13391158.000069
2022-08-30,13397685.000069
2022-08-31,13409672.000069
2022-09-01,13413530.000069
2022-09-02,13509343.000069
2022-09-03,13513877.000069
2022-09-04,13519518.000069
2022-09-05,13522095.000069
2022-09-06,13525682.000069
2022-09-07,13539682.000069
2022-09-08,13598486.000069
2022-09-09,13614906.000069
2022-09-10,13632827.000069
2022-09-11,13637726.000069
2022-09-12,13646113.000069
2022-09-13,13700980.000069
2022-09-14,13708087.000069
2022-09-15,13712865.000069
2022-09-16,13743317.000069
2022-09-17,13763909.000069
2022-09-18,13781703.000069
2022-09-19,13801319.000069
2022-09-20,13819783.000069
2022-09-21,13840919.000069
2022-09-22,13856759.000069
2022-09-23,13912471.000069
2022-09-24,13932647.000069
2022-09-25,13947831.000069
2022-09-26,13959895.000069
2022-09-27,13984695.000069
2022-09-28,14017063.007718565
2022-09-29,14034247.007718565
2022-09-30,14054455.007718565
2022-10-01,14080071.007718565
2022-10-02,14092151.007718565
